Shop Name,Address,Area/Region,Category,Phone Number,Website,Rating,Number of Reviews,Business Status,Opening Hours,Google Maps Link,Source
Laser Cutting,"127D/4H/1, Sulem Sarai, Dhoomanganj, Prayagraj, UP 211011",Prayagraj (near Kaushambi),Laser Cutting,,,5.0,2,OPERATIONAL,,https://maps.google.com/?cid=13661294971777546055,Google Maps
YUKTI METALLICS,"26, KDA Plot Site 1, Industrial Area, Panki, Kanpur, UP 208022",Kanpur (regional),CNC Laser Cutting,+91 98391 16611,http://yuktimetallics.com/,5.0,83,OPERATIONAL,Mon-Sat: 6AM-10PM; Sun: Closed,https://maps.google.com/?cid=6877249714392631831,Google Maps
Anand Engineering Corporation,"101, Uptron Estate, Industrial Area, Panki, Kanpur, UP 208022",Kanpur (regional),CNC Plasma & Laser Cutting,,https://anandengineering.in/,5.0,24,OPERATIONAL,Mon-Sat: 8AM-8PM; Sun: Closed,https://maps.google.com/?cid=9299706981600455235,Google Maps
Pragya Industries - Laser Cutting,"JK Iron Compound, Fazalganj, Kanpur, UP 208012",Kanpur (regional),Laser Cutting + Steel,+91 91511 41414,,5.0,20,OPERATIONAL,Open 24 hours,https://maps.google.com/?cid=14437053978002027525,Google Maps
S. R. Metals (LaserHub),"123/95, Gold Spot Rd, Fazalganj, Kanpur, UP 208012",Kanpur (regional),Laser Cutting + SS Products,+91 90441 36661,http://www.srmetalsindia.in/,4.9,15,OPERATIONAL,Mon-Sat: 9AM-9PM; Sun: 11AM-2PM,https://maps.google.com/?cid=2420058337980201655,Google Maps
Flevo - Laser Cutting & Engraving,"87, KDA Colony Rd, Kanpur, UP 208010",Kanpur (regional),Laser Cutting & Engraving,+91 88813 11114,http://www.flevo.in/,4.9,99,OPERATIONAL,Open 24 hours,https://maps.google.com/?cid=2337753055599056058,Google Maps
F STAR Laser Engraving,"Green Garden 21, KDA Colony, Kanpur, UP 208010",Kanpur (regional),Laser Cutting & Engraving,+91 88819 67888,http://faisalzafar.com/,4.5,17,OPERATIONAL,Mon-Sat: 9AM-7PM; Sun: Closed,https://maps.google.com/?cid=1369041872676495694,Google Maps
Bux Industries - Laser Cutting,"Rupam Chauraha, Reshma Market, Colonelganj, Kanpur, UP 208001",Kanpur (regional),Laser Cutting,+91 97957 73705,https://www.buxindustries.com/,5.0,9,OPERATIONAL,Open 24 hours,https://maps.google.com/?cid=1836878678451293575,Google Maps
NORTHERN Alloys - Jindal SS Distributor,"83/1, Jawahar Rd, BM Market, Kanpur, UP 208014",Kanpur (regional),Stainless Steel Distributor,+91 99841 23455,,5.0,567,OPERATIONAL,Open 24 hours,https://maps.google.com/?cid=2415530978556954124,Google Maps
Ahmad CNC Metal Laser Cutting Provider,"Budheshwar, Hazratganj, Lucknow, UP 226001",Lucknow (regional),CNC Laser Cutting,+91 70540 64900,,5.0,2,OPERATIONAL,Open 24 hours,https://maps.google.com/?cid=7264641902700178521,Google Maps
SH CNC Metal Laser Cutting Provider,"Purvidein Khera, Rajajipuram, Lucknow, UP 226017",Lucknow (regional),CNC Laser Cutting,+91 72369 39110,,5.0,6,OPERATIONAL,Open 24 hours,https://maps.google.com/?cid=9198308370091108583,Google Maps
Lucknow Steel and Fabrication Work,"Shankar Puri, Chinhat, Lucknow, UP 226028",Lucknow (regional),Steel Fabrication,+91 77849 23860,,4.6,42,OPERATIONAL,Open 24 hours,https://maps.google.com/?cid=7191620171091192273,Google Maps
Lucknow Steel Fabrication - CNC Cutting,"Mahesh Complex, Gomti Nagar, Lucknow, UP 226010",Lucknow (regional),CNC Cutting + Fabrication,+91 91182 99223,,4.2,9,OPERATIONAL,Open 24 hours,https://maps.google.com/?cid=2989141245775388574,Google Maps
Tanvi CNC Laser Cutting Services,"Behind Sector 8, Sanjay Place, Agra, UP",Agra (serves Fatehpur),CNC Laser Cutting,09972800194,,4.4,75,OPERATIONAL,,https://www.justdial.com/Agra/Tanvi-Cnc-Laser-Cutting-Services,JustDial
